Item,Description,Quantity,Unit Price ($),Total Price ($), URL, Note
PCB, PCB,5,4.92,24.6,JLCPCB,
Akko V3 Cream Black Pro Switch (Pack of 45), Switches,2,12.51,25.02, https://stackskb.com/store/akko-v3-cream-black-pro-switch-pack-of-45/,
Veekos Gradient Keycaps (Cherry Profile) (135 keys), Keycaps,1,13.55,13.55, https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/,
0.91 inch Blue OLED Display Module, OLED,1,1.55,1.55, https://robocraze.com/products/0-91-inch-blue-oled-display-module, Already have it
Raspberry Pi PICO W (Wireless), MCU,1,6.78,6.78, https://www.silverlineelectronics.in/products/test-2?_pos=1&_sid=159097d55&_ss=r,
1N4148 1W Zener Diode, Diode,84,0.013,1.1, https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/,
5mm x 2mm Neodymium Magnet Disc ,Magnet,8,0.16,1.25,https://probots.co.in/5mm-x-2mm-neodymium-disc-strong-magnet.html,
,,,,,,
Total,,,,73.85,,
